customer_id,age,gender,income_numeric,tenure,sub_plan,contract,monthly_charge,auto_renewal,late_payment,failed_transaction,default
1,46,F,2,6,basic,monthly,208,0,1,0,1
2,29,F,2,13,basic,monthly,190,0,1,1,1
3,31,F,3,6,standard,annual,320,1,1,0,1
4,41,F,2,13,standard,annual,214,0,0,1,1
5,40,F,1,8,premium,annual,121,1,1,1,1
6,46,F,3,5,premium,annual,276,0,1,0,1
7,50,F,2,10,premium,annual,416,0,0,0,1
8,23,F,2,6,basic,monthly,265,0,0,0,1
9,29,F,1,4,premium,annual,75,0,0,1,1
10,45,F,1,13,premium,annual,112,0,0,1,1
11,53,F,3,6,standard,monthly,390,0,0,0,1
12,53,M,2,11,premium,annual,317,0,1,1,1
13,51,M,1,6,basic,monthly,94,1,0,0,1
14,53,F,1,5,basic,annual,403,1,1,0,1
15,51,F,1,14,basic,monthly,316,0,1,0,1
16,23,M,2,1,premium,annual,351,0,0,1,1
17,34,F,1,11,standard,monthly,403,0,1,0,1
18,29,F,1,1,standard,monthly,355,1,1,1,1
19,33,M,3,4,premium,monthly,387,0,1,1,1
20,30,F,1,7,premium,monthly,309,1,1,0,1
21,57,M,2,12,premium,annual,399,0,1,0,1
22,54,M,2,14,standard,monthly,400,1,1,1,1
23,40,F,3,4,premium,annual,107,0,1,0,1
24,25,F,3,1,standard,monthly,270,0,1,1,1
25,57,M,1,11,basic,monthly,367,0,1,1,1
26,25,M,1,3,premium,monthly,269,0,0,0,1
27,38,M,1,9,premium,annual,342,1,0,0,1
28,52,M,2,11,premium,annual,344,0,1,1,1
29,32,F,3,2,basic,annual,77,1,1,0,1
30,38,M,3,5,premium,monthly,94,1,0,0,1
31,28,F,1,7,standard,monthly,218,0,0,1,1
32,18,M,1,10,basic,annual,348,0,0,1,1
33,19,F,1,14,standard,annual,294,1,1,0,1
34,55,F,3,8,premium,monthly,339,0,0,1,1
35,36,M,2,14,standard,monthly,401,1,1,1,1
36,24,F,1,13,premium,annual,468,1,0,1,1
37,43,M,2,6,premium,annual,359,1,0,0,1
38,40,M,1,3,standard,annual,356,0,0,1,1
39,33,F,3,13,standard,annual,463,1,0,0,1
40,49,M,1,12,basic,monthly,402,1,1,1,1
41,39,M,1,12,standard,annual,85,1,0,1,1
42,44,F,1,6,premium,annual,403,1,1,1,1
43,18,M,1,2,standard,annual,167,0,0,0,1
44,44,F,3,14,basic,monthly,272,1,0,1,1
45,56,F,3,6,premium,monthly,469,0,1,1,1
46,48,F,3,8,standard,monthly,387,0,0,1,1
47,27,F,3,2,basic,monthly,90,1,1,1,1
48,41,M,1,12,premium,monthly,476,1,1,1,1
49,35,M,1,1,premium,annual,148,0,1,1,1
50,59,M,2,3,standard,monthly,391,0,1,0,1
51,28,F,2,7,premium,monthly,275,1,0,1,1
52,43,F,3,3,premium,monthly,155,1,1,1,1
53,43,M,3,13,basic,annual,278,1,0,0,1
54,49,F,1,9,basic,annual,95,1,0,1,1
55,28,M,2,9,basic,annual,275,1,1,1,1
56,31,F,3,6,standard,monthly,453,1,1,0,1
57,19,M,2,10,standard,annual,165,0,0,0,1
58,30,F,3,13,premium,monthly,149,0,0,1,1
59,38,M,1,10,standard,annual,291,0,1,0,1
60,29,F,2,10,basic,monthly,381,1,1,0,1
61,27,M,1,8,premium,monthly,106,0,0,0,1
62,34,M,3,4,premium,monthly,374,0,0,1,1
63,40,F,3,13,standard,annual,360,0,1,0,1
64,30,M,3,10,basic,monthly,278,0,0,0,1
65,46,M,1,14,premium,monthly,164,1,1,0,0
66,21,M,3,9,standard,monthly,145,0,1,1,1
67,48,M,3,11,standard,annual,179,0,0,1,1
68,50,F,3,1,premium,annual,68,0,0,1,1
69,27,F,1,11,premium,monthly,417,1,0,0,1
70,55,M,3,12,standard,monthly,457,1,0,0,0
71,31,M,1,2,basic,annual,330,0,0,1,1
72,25,F,3,13,standard,monthly,203,1,0,1,0
73,38,M,3,5,premium,annual,269,0,1,1,1
