customer_id,age,gender,income_numeric,tenure,sub_plan,contract,monthly_charge,auto_renewal,late_payment,failed_transaction,default
1,43,F,2,5,basic,monthly,210,0,1,0,1
2,47,F,2,13,basic,monthly,194,0,1,1,1
3,31,F,3,6,standard,annual,310,1,1,0,1
4,53,F,2,22,standard,annual,211,0,0,1,1
5,47,F,1,15,premium,annual,111,1,1,1,1
6,55,F,3,5,premium,annual,270,0,1,0,1
7,48,F,2,8,premium,annual,422,0,0,0,1
8,29,F,2,9,basic,monthly,268,0,0,0,1
9,43,F,1,7,premium,annual,78,0,0,1,1
10,47,F,1,15,premium,annual,113,0,0,1,1
11,60,F,3,15,standard,monthly,392,0,0,0,1
12,49,M,2,9,premium,annual,313,0,1,1,1
13,57,M,1,9,basic,monthly,96,1,0,0,1
14,71,F,1,9,basic,annual,400,1,1,0,1
15,52,F,1,18,basic,monthly,312,0,1,0,1
16,18,M,2,6,premium,annual,347,0,0,1,1
17,47,F,1,10,standard,monthly,398,0,1,0,1
18,41,F,1,8,standard,monthly,362,1,1,1,1
19,38,M,3,7,premium,monthly,378,0,1,1,1
20,34,F,1,15,premium,monthly,313,1,1,0,1
21,65,M,2,18,premium,annual,389,0,1,0,1
22,67,M,2,13,standard,monthly,398,1,1,1,1
23,38,F,3,7,premium,annual,110,0,1,0,1
24,44,F,3,0,standard,monthly,268,0,1,1,1
25,57,M,1,15,basic,monthly,360,0,1,1,1
26,22,M,1,10,premium,monthly,268,0,0,0,1
27,41,M,1,9,premium,annual,343,1,0,0,1
28,48,M,2,20,premium,annual,350,0,1,1,1
29,35,F,3,1,basic,annual,70,1,1,0,1
30,35,M,3,6,premium,monthly,97,1,0,0,1
31,36,F,1,15,standard,monthly,212,0,0,1,1
32,29,M,1,12,basic,annual,352,0,0,1,1
33,14,F,1,14,standard,annual,294,1,1,0,1
34,68,F,3,7,premium,monthly,344,0,0,1,1
35,36,M,2,19,standard,monthly,396,1,1,1,1
36,25,F,1,12,premium,annual,471,1,0,1,1
37,55,M,2,9,premium,annual,359,1,0,0,1
38,47,M,1,4,standard,annual,364,0,0,1,1
39,51,F,3,19,standard,annual,469,1,0,0,1
40,64,M,1,16,basic,monthly,408,1,1,1,1
41,48,M,1,20,standard,annual,88,1,0,1,1
42,43,F,1,9,premium,annual,402,1,1,1,1
43,15,M,1,5,standard,annual,168,0,0,0,1
44,53,F,3,20,basic,monthly,276,1,0,1,1
45,72,F,3,5,premium,monthly,468,0,1,1,1
46,48,F,3,17,standard,monthly,387,0,0,1,1
47,23,F,3,4,basic,monthly,86,1,1,1,1
48,46,M,1,10,premium,monthly,475,1,1,1,1
49,51,M,1,5,premium,annual,150,0,1,1,1
50,59,M,2,12,standard,monthly,393,0,1,0,1
51,42,F,2,16,premium,monthly,280,1,0,1,1
52,59,F,3,12,premium,monthly,155,1,1,1,1
53,46,M,3,13,basic,annual,282,1,0,0,1
54,65,F,1,8,basic,annual,89,1,0,1,1
55,42,M,2,18,basic,annual,275,1,1,1,1
56,31,F,3,14,standard,monthly,456,1,1,0,1
57,36,M,2,8,standard,annual,165,0,0,0,1
58,45,F,3,12,premium,monthly,146,0,0,1,1
59,47,M,1,18,standard,annual,298,0,1,0,1
60,42,F,2,11,basic,monthly,388,1,1,0,1
61,45,M,1,15,premium,monthly,110,0,0,0,1
62,50,M,3,10,premium,monthly,377,0,0,1,1
63,48,F,3,20,standard,annual,353,0,1,0,1
64,41,M,3,18,basic,monthly,271,0,0,0,1
65,65,M,1,12,premium,monthly,165,1,1,0,0
66,21,M,3,12,standard,monthly,149,0,1,1,1
67,62,M,3,18,standard,annual,180,0,0,1,1
68,48,F,3,5,premium,annual,58,0,0,1,1
69,29,F,1,14,premium,monthly,407,1,0,0,1
70,54,M,3,19,standard,monthly,458,1,0,0,0
