customer_id,age,gender,income_numeric,tenure,sub_plan,contract,monthly_charge,auto_renewal,late_payment,failed_transaction,default
1000,51,M,2,7,premium,monthly,101,1,1,1,1
1001,38,F,3,17,standard,monthly,162,1,1,0,0
1002,37,M,3,11,basic,monthly,55,0,0,0,0
1003,55,M,3,27,basic,monthly,122,0,1,0,0
1004,41,F,3,33,basic,monthly,190,1,0,0,1
1005,64,M,2,15,standard,annual,94,1,0,0,0
1006,58,M,3,9,premium,annual,146,1,0,1,1
1007,25,F,2,20,premium,annual,159,0,0,1,0
1008,69,F,1,23,basic,annual,98,1,0,0,1
1009,31,F,2,26,standard,monthly,80,1,1,0,0
1010,45,F,3,22,basic,monthly,105,0,0,0,1
1011,57,F,2,22,premium,monthly,179,1,1,1,0
1012,68,M,1,25,standard,monthly,201,0,0,0,0
1013,68,M,2,19,premium,monthly,181,0,1,0,0
1014,70,F,1,13,standard,monthly,142,1,1,1,1
1015,49,F,1,29,standard,monthly,137,0,0,1,0
1016,28,F,3,11,basic,monthly,80,1,1,0,0
1017,45,M,3,23,basic,monthly,110,1,0,1,0
1018,42,M,2,14,premium,monthly,68,1,1,1,1
1019,69,M,1,25,standard,annual,137,1,0,1,0
1020,53,M,3,30,basic,monthly,111,1,1,0,1
1021,51,M,3,12,standard,annual,115,1,1,1,1
1022,78,M,2,16,basic,annual,57,1,1,1,1
1023,54,F,2,22,standard,monthly,179,1,1,1,0
1024,44,F,3,19,standard,monthly,121,1,1,0,0
1025,45,F,1,6,standard,monthly,53,1,0,0,1
1026,62,F,1,0,premium,annual,72,1,1,1,1
1027,40,F,3,14,premium,annual,198,1,1,1,0
1028,39,M,2,11,premium,monthly,1964,0,1,1,1
1029,62,M,2,19,standard,annual,86,1,0,1,0
1030,78,F,2,24,basic,annual,98,0,1,1,0
1031,37,M,2,27,basic,annual,53,1,0,0,1
1032,56,F,1,11,standard,annual,179,0,0,0,1
1033,38,F,1,14,premium,annual,98,1,0,1,1
1034,24,F,3,12,standard,annual,1834,1,0,0,1
1035,23,M,2,15,basic,monthly,140,1,0,1,0
